Date,Open,High,Low,Close,
03-Jan-22,40459.01,41507.56,40458.37,41438.77,979.76
04-Jan-22,41607.87,42044.52,41409.2,41982.2,374.33
05-Jan-22,42087.95,43201.7,41892.37,43002.78,914.83
06-Jan-22,42549.61,43068.19,42312.37,42769.62,220.01
07-Jan-22,42889.73,43494.46,42689.63,43046.33,156.6
10-Jan-22,43251.64,43858.31,43239.49,43800.96,549.32
11-Jan-22,43778.09,43977.5,43422.62,43883.37,105.28
12-Jan-22,44198.51,44388.43,44093.62,44221.83,23.32
13-Jan-22,44232.16,44233.08,43825.77,43923.87,-308.29
14-Jan-22,43795.24,43859.19,43348.76,43771.05,-24.19
17-Jan-22,43721.89,44034.44,43507.96,43624.8,-97.09
18-Jan-22,43748.16,44396.45,43559.31,43695.23,-52.93
19-Jan-22,43649.29,43777.32,43146.66,43468.74,-180.55
20-Jan-22,43517.67,43634.56,42971.18,43276.73,-240.94
21-Jan-22,42966.11,43137.54,42522.28,42940.3,-25.81
24-Jan-22,43169.6,43169.6,41569.11,42230.56,-939.04
25-Jan-22,42001.42,43276.86,41661.7,43164.41,1162.99
27-Jan-22,42640.54,43760.8,42446.25,43584.4,943.86
28-Jan-22,44101.42,44101.42,43131.38,43257.74,-843.68
31-Jan-22,43689.39,43864.64,43165.97,43569.48,-119.91
01-Feb-22,44073.65,44518.87,43172.39,44127.02,53.37
02-Feb-22,44514.02,45127.15,44471.34,45043.84,529.82
03-Feb-22,44999.86,45143.71,44506.83,44682.71,-317.15
04-Feb-22,44848.38,44982.63,44146.25,44391.25,-457.13
07-Feb-22,44347.35,44473.57,43349.57,43562.25,-785.1
08-Feb-22,43740.38,43822.69,42809.26,43631.6,-108.78
09-Feb-22,43961.27,44261.71,43848.73,44209.61,248.34
10-Feb-22,44417.93,44905.82,44121.03,44683.73,265.8
11-Feb-22,44176.95,44416.77,43981.16,44088.25,-88.7
14-Feb-22,42403.6,43202.2,42127.68,42215.83,-187.77
15-Feb-22,42447.63,43736.9,41940.64,43674.91,1227.28
16-Feb-22,43721.99,44005.82,43204.9,43443.14,-278.85
17-Feb-22,43566.26,43626.33,42834.19,42943.67,-622.59
18-Feb-22,42677.13,43288.33,42667.25,43062.88,385.75
21-Feb-22,42760.23,43551.51,42527.54,43132.22,371.99
22-Feb-22,42096.2,43129.04,42055.35,42818.68,722.48
23-Feb-22,43082.22,43308.01,42832,42920.81,-161.41
24-Feb-22,41298.05,42108.2,40285.93,40547.68,-750.37
25-Feb-22,41328.68,42147.74,41100,41884.16,555.48
28-Feb-22,41434.07,41694.54,40952.54,41635.83,201.76
02-Mar-22,40822.01,40902.79,40135.45,40697.74,-124.27
03-Mar-22,41042.71,41184.92,39937.32,40176.74,-865.97
04-Mar-22,39853.93,40334.55,39197.13,39542.86,-311.07
07-Mar-22,38269.78,38496.96,37180.63,37726.86,-542.92
08-Mar-22,37344.28,38172.91,36888.4,38051.11,706.83
09-Mar-22,38294,38904.46,37795.09,38720.27,426.27
10-Mar-22,40261,40566.51,39195.05,39488.13,-772.87
11-Mar-22,39330.8,39978.75,39102.78,39592.95,262.15
14-Mar-22,39659.7,40625.56,39653.75,40506.08,846.38
15-Mar-22,40716.23,40831.32,39769.75,40125.54,-590.69
16-Mar-22,40733.09,41021.08,40672.62,40944.39,211.3
17-Mar-22,41588.24,41988.3,41555.1,41773.35,185.11
21-Mar-22,41881.02,41943.39,41114.07,41228.97,-652.05
22-Mar-22,41170.23,41786.97,40521.37,41668.73,498.5
23-Mar-22,41848.04,42175.25,41202.67,41330.89,-517.15
24-Mar-22,40735.79,41106.45,40522.98,40630.88,-104.91
25-Mar-22,40874.72,40874.72,40328.49,40551.51,-323.21
28-Mar-22,40613.94,41033.18,40121.34,40962.02,348.08
29-Mar-22,41172.62,41258.84,40740,41135.8,-36.82
30-Mar-22,41485.53,41803.4,41367.62,41695.46,209.93
31-Mar-22,41909.75,42023.42,41657.91,41753.8,-155.95
01-Apr-22,41717.63,42646.77,41603.46,42596.21,878.58
04-Apr-22,43163.64,44160.87,42996.11,44067.53,903.89
05-Apr-22,44194.75,44199.93,43334.12,43481.27,-713.48
06-Apr-22,43104.04,43287.1,42865,43028.56,-75.48
07-Apr-22,42894.85,43495.11,42767.34,43055.21,160.36
08-Apr-22,43177.56,43422.9,42890.95,43296.2,118.64
11-Apr-22,43178.83,43531.04,43022.95,43139.16,-39.67
12-Apr-22,42989.18,43548.77,42765.51,43356.36,367.18
13-Apr-22,43678.29,43678.29,42996.87,43074.65,-603.64
18-Apr-22,42530.62,42530.62,41968.58,42348.95,-181.67
19-Apr-22,42431.96,42855.26,41468.14,41985.13,-446.83
20-Apr-22,42117.16,42140.26,41691.07,41913.14,-204.02
21-Apr-22,42132.72,42605.56,42004.22,42496.71,363.99
22-Apr-22,42166.87,42181.63,41515.68,41565.21,-601.66
25-Apr-22,41335.86,41826.43,40984.65,41616.47,280.61
26-Apr-22,42094.74,42218.43,41778.06,41949.88,-144.86
27-Apr-22,41591.15,41682.18,41170.52,41499.53,-91.62
28-Apr-22,41752.51,42102.24,41423.78,42006.39,253.88
29-Apr-22,42075.22,42258.36,41408.4,41533.91,-541.31
02-May-22,41019.47,41605.65,40959.54,41532.9,513.43
04-May-22,41745.8,41745.8,40430.05,40583.54,-1162.26
05-May-22,41138.14,41387.39,40476.7,40584.36,-553.78
06-May-22,39801.06,40113.08,39608.42,39879.82,78.76
09-May-22,39318.88,39838.95,39113.61,39502.91,184.03
10-May-22,39587.58,40063.87,39457.32,39726.31,138.73
11-May-22,39958.91,40134.54,39385.39,39995.26,36.35
12-May-22,39662.07,39662.07,38487.58,38739.84,-922.23
13-May-22,39319.66,39319.66,38107.68,38241.42,-1078.24
16-May-22,38334.9,39045.3,38113.38,38787.72,452.82
17-May-22,39053.85,39710.13,38913.92,39644.21,590.36
18-May-22,39719.4,40042.14,39446.92,39487.26,-232.14
19-May-22,38743.04,38888.47,38387.2,38509.51,-233.53
20-May-22,39087.74,39729.61,38948.28,39631.09,543.35
23-May-22,39681.17,40289.27,39490.61,39654.47,-26.7
24-May-22,39559.83,40053.61,39494.34,39706.07,146.24
25-May-22,40025.96,40212.1,39722.4,39791.33,-234.63
26-May-22,40111.17,40777.26,39889.96,40646.1,534.93
27-May-22,40881.12,41288.21,40839.48,41195.68,314.56
30-May-22,41558.25,41681.95,41264.98,41346.75,-211.5
31-May-22,41088.61,41385.16,40672.35,40907.3,-181.31
01-Jun-22,40767.44,41241.38,40681.03,41088.39,320.95
02-Jun-22,40947.04,41128.06,40802.8,41065.17,118.13
03-Jun-22,41385.93,41469.31,40568.79,40661.65,-724.28
06-Jun-22,40500.6,40848.69,40423.2,40722.73,222.13
07-Jun-22,40496.88,40537.82,40186.21,40375.89,-120.99
08-Jun-22,40566.91,40892.65,40176.38,40304.75,-262.16
09-Jun-22,40090.57,40541.6,39976.6,40466.45,375.88
10-Jun-22,40158.92,40158.92,39598.82,39735.84,-423.08
13-Jun-22,38787.39,38878.41,38283.64,38494.32,-293.07
14-Jun-22,38251.69,38748.54,38191.01,38403.13,151.44
15-Jun-22,38413.85,38704,38378.96,38469.8,55.95
16-Jun-22,38824.45,38950.87,37527.91,37607.55,-1216.9
17-Jun-22,37442.97,37913.99,37242.74,37766.25,323.28
20-Jun-22,37795.5,37950.18,37381.17,37648.33,-147.17
21-Jun-22,37958.2,38695.65,37794.26,38227.78,269.58
22-Jun-22,37934.4,38117.57,37726.18,37850.29,-84.11
23-Jun-22,37957.15,38509.89,37623.67,38205.92,248.77
24-Jun-22,38526.16,38822.53,38499.22,38701.99,175.83
27-Jun-22,39264.15,39307.89,38796.89,38884.42,-379.73
28-Jun-22,38561.38,38816.38,38546.09,38704.48,143.1
29-Jun-22,38208.76,38444.8,38180.35,38239.26,30.5
30-Jun-22,38072.28,38720.21,38068.89,38475.94,403.66
01-Jul-22,38332.62,38757.46,38096.47,38626.25,293.63
04-Jul-22,38632.92,39089.14,38566.19,39041.85,408.93
05-Jul-22,39257.21,39520.44,38845.25,38896.73,-360.48
06-Jul-22,38988.11,39596.94,38988.11,39513.68,525.57
07-Jul-22,39927.52,40226.63,39783.09,40180.78,253.26
08-Jul-22,40458.72,40545.45,40274.95,40445.58,-13.14
11-Jul-22,40275.79,40892.05,40265.24,40792.25,516.46
12-Jul-22,40638.97,40773.41,40308.96,40407.26,-231.71
13-Jul-22,40666.53,40666.53,40100.39,40180.37,-486.16
14-Jul-22,40185.61,40407.29,39912.84,40008.35,-177.26
15-Jul-22,40045.12,40316.99,39799.33,40074.01,28.89
18-Jul-22,40222.69,40940.68,40212.96,40907.13,684.44
19-Jul-22,40619.3,41345.13,40597.68,41297.37,678.07
20-Jul-22,41675.48,41816.63,41463.76,41572.3,-103.18
21-Jul-22,41583,41924.56,41468.16,41784.42,201.42
22-Jul-22,41842.29,42501.55,41842.29,42405.3,563.01
25-Jul-22,42419.96,42739.59,42049.57,42337.54,-82.42
26-Jul-22,42343.7,42343.7,41812.6,41882.21,-461.49
27-Jul-22,41823.96,42362.31,41709.14,42329.35,505.39
28-Jul-22,42715.63,43098.74,42621.5,43058.71,343.08
29-Jul-22,43340.8,43484.43,42889.9,43130.69,-210.11
01-Aug-22,43164.71,43617.35,43041.96,43573.78,409.07
02-Aug-22,43460.35,43926.48,43254.26,43716.7,256.35
03-Aug-22,43670.23,43772.23,43359.83,43658.85,-11.38
04-Aug-22,43712.61,43924.77,42794.46,43346.93,-365.68
05-Aug-22,43413.33,43819.8,43408.92,43550.81,137.48
08-Aug-22,43552.85,43938.83,43246.83,43852.04,299.19
10-Aug-22,43957.49,44044.3,43777.19,43855.51,-101.98
11-Aug-22,44214.52,44624.26,44214.52,44575.93,361.41
12-Aug-22,44552.18,44809.2,44418.51,44758.13,205.95
16-Aug-22,44894.89,45205.81,44812.82,44963.33,68.44
17-Aug-22,45084.25,45213.29,44914.33,45163.26,79.01
18-Aug-22,45002.56,45517.18,44994.11,45468.16,465.6
19-Aug-22,45597.74,45607.15,44554.79,44738.35,-859.39
22-Aug-22,44251.12,44335.2,43830.71,43899.5,-351.62
23-Aug-22,43437.53,44571.77,43402.11,44382.06,944.53
24-Aug-22,44221.28,44776.59,44199.25,44679.22,457.94
25-Aug-22,44832.02,45177.16,44413.21,44558.34,-273.68
26-Aug-22,44713.4,45049.19,44525.73,44674.39,-39.01
29-Aug-22,43544.46,44012.85,43510.42,43836.83,292.37
30-Aug-22,44080.73,45374.74,44080.73,45295.67,1214.94
01-Sep-22,44486.77,45420.67,44446.12,45017.56,530.79
02-Sep-22,45133.87,45365.24,44923.05,45197.14,63.27
05-Sep-22,45124.01,45706.89,45124.01,45601.36,477.35
06-Sep-22,45606.63,45896.61,45312.71,45413.92,-192.71
07-Sep-22,45043.75,45312.76,44938.22,45181.05,137.3
08-Sep-22,45377.74,46121.55,45377.74,46056.37,678.63
09-Sep-22,46342.48,46584.58,46123.8,46288.97,-53.51
12-Sep-22,46313,46633.06,46242.39,46468.97,155.97
13-Sep-22,46695.73,46828.43,46596.69,46771.72,75.99
14-Sep-22,45979.76,47651.31,45979.76,47371.94,1392.18
15-Sep-22,47554.32,47870.08,47055.49,47118.78,-435.54
16-Sep-22,46779.31,47022.05,46348.84,46670.26,-109.05
19-Sep-22,46536.67,47099.05,46369.53,46828.24,291.57
20-Sep-22,47135.3,47670.88,47135.3,47414.75,279.45
21-Sep-22,47195.34,47487.79,46783.18,47119.91,-75.43
22-Sep-22,46807.9,47066.26,46158.36,46440.06,-367.84
23-Sep-22,46221.25,46329.89,45113.69,45280.9,-940.35
26-Sep-22,44676.4,44915.27,44108.11,44243.68,-432.72
27-Sep-22,44338.63,44720.35,43693.2,43896.57,-442.06
28-Sep-22,43646,43907.87,43079.12,43229.24,-416.76
29-Sep-22,43637.9,43828.53,42936.71,43048.38,-589.52
30-Sep-22,42965.75,44345.77,42772.96,44179.79,1214.04
03-Oct-22,43951.36,44149.9,43358.56,43431.3,-520.06
04-Oct-22,44079.82,44682.54,44079.82,44619.84,540.02
06-Oct-22,44752.23,45174.82,44741.32,44818.91,66.68
07-Oct-22,44620.01,44791.87,44310.66,44720.98,100.97
10-Oct-22,44073.12,44886.81,43989.54,44656.7,583.58
11-Oct-22,44705.32,44787.34,44174.85,44261.1,-444.22
12-Oct-22,44353.32,44806.71,44158.9,44753.9,400.58
13-Oct-22,44591.63,44725.14,44019.4,44214.59,-377.04
14-Oct-22,45002.95,45264.62,44855.82,44968.67,-34.28
17-Oct-22,44912.68,45733.57,44781.32,45686.96,774.28
18-Oct-22,45964.54,46256.17,45925.3,46116.48,151.94
19-Oct-22,46337.01,46434.31,45975.55,46172.57,-164.44
20-Oct-22,46074.22,46074.22,45624.02,45900.8,-173.42
21-Oct-22,46254.8,47111.56,46211.34,46849.58,594.78
24-Oct-22,47475.96,47547.44,47298.35,47380.29,-95.67
25-Oct-22,47489.5,47641.01,47002.93,47116.99,-372.51
27-Oct-22,47430.71,47589.29,47248.82,47385.23,-45.48
28-Oct-22,47263.58,47580.53,46878.74,47043.97,-219.61
31-Oct-22,47308.59,47454.23,47202.15,47398.64,90.05
01-Nov-22,47573.4,47797.14,47237.29,47348.55,-224.85
02-Nov-22,47435.45,47519.45,47073.3,47176.99,-258.46
03-Nov-22,46864.57,47542.56,46824.65,47319.83,455.26
04-Nov-22,47287.56,47567.23,47072.66,47315.66,28.1
07-Nov-22,47864.43,47926.08,47397.87,47781.57,-82.86
09-Nov-22,47929.19,48061.16,47722.77,47898.81,-30.38
10-Nov-22,47413.39,47681.16,47314.54,47628.23,214.84
11-Nov-22,48109.89,48311.7,47954.82,48101.36,-8.53
14-Nov-22,48094.06,48218.48,47962.43,48058.29,-35.77
15-Nov-22,48209.7,48477.62,48046.04,48394.13,184.43
16-Nov-22,48207.11,48699.91,48207.11,48621.86,414.75
17-Nov-22,48467.35,48721.44,48370.21,48528.11,60.76
18-Nov-22,48653.1,48762.36,48305.03,48545.2,-107.9
21-Nov-22,48367.03,48465.11,48262.49,48417.46,50.43
22-Nov-22,48512.53,48573.98,48409.11,48503.69,-8.84
23-Nov-22,48816.13,48969.67,48642.54,48827.25,11.12
24-Nov-22,48942.4,49269.85,48895.86,49178.74,236.34
25-Nov-22,49232.85,49411.19,48889.13,49016.99,-215.86
28-Nov-22,48759.68,49226.03,48728.54,49060.21,300.53
29-Nov-22,48989.55,49368.47,48974,49117.39,127.84
30-Nov-22,49253.51,49460.96,48912.64,49348.18,94.67
01-Dec-22,49541.08,49645.23,49187.66,49335.6,-205.48
02-Dec-22,48988.73,49208.74,48977.71,49179.36,190.63
05-Dec-22,49263.37,49458.01,49023.34,49404.48,141.11
06-Dec-22,49083.41,49372.31,49083.41,49190.43,107.02
07-Dec-22,49222.81,49364.15,48959.85,49134.87,-87.94
08-Dec-22,49257.86,49707.65,49097.23,49652.21,394.35
09-Dec-22,49816.92,49914.28,49396.43,49698.8,-118.12
12-Dec-22,49346.6,49763.51,49335.94,49688.67,342.07
13-Dec-22,49849.62,49986.65,49756.35,49926.19,76.57
14-Dec-22,50059.62,50164.43,49975.59,50032.07,-27.55
15-Dec-22,49911.08,50107.16,49303.26,49439.97,-471.11
16-Dec-22,49258.84,49536.01,48986.47,49103.16,-155.68
19-Dec-22,49186.98,49408.23,49028.05,49367.86,180.88
20-Dec-22,49152.26,49395.18,48882.96,49311.76,159.5
21-Dec-22,49718.55,49725.13,48232.71,48487.11,-1231.44
22-Dec-22,48688.52,48827.72,48090.47,48274.58,-413.94
23-Dec-22,47630.95,48074.43,47462.87,47533.63,-97.32
26-Dec-22,47383.97,48761.77,47383.97,48501.87,1117.9
27-Dec-22,48852.12,48861.42,48293.23,48786.71,-65.41
28-Dec-22,48758.29,48971.23,48590.17,48724.69,-33.6
29-Dec-22,48559.8,49316.04,48360.5,49175.41,615.61
30-Dec-22,49364.17,49402.78,48755.82,48906.28,-457.89
02-Jan-23,48866.4,49309.3,48866.4,49132.64,266.24
03-Jan-23,49070.01,49472.14,49068.63,49419.08,349.07
04-Jan-23,49427.11,49591.38,48822.92,48937.65,-489.46
05-Jan-23,49100.76,49130.81,48215.52,48556.83,-543.93
06-Jan-23,48567.77,48618.64,47720.59,48052.53,-515.24
09-Jan-23,48314.55,48653.88,48051.67,48563.59,249.04
10-Jan-23,48646.92,48646.92,47728.7,47927.3,-719.62
11-Jan-23,47998.4,48256.86,47617.7,48153,154.6
12-Jan-23,48104.38,48202.46,47515.85,47898.05,-206.33
13-Jan-23,47985.13,48255.94,47623.76,48162.87,177.74
16-Jan-23,48467.62,48528.76,47794.72,47890.04,-577.58
17-Jan-23,47950.77,48131.29,47550.83,47971.6,20.83
18-Jan-23,48076.13,48343.83,47862.34,48213.5,137.37
19-Jan-23,48177.83,48252.45,47956.25,48044.65,-133.18
20-Jan-23,48240.63,48441.5,48107.22,48226.23,-14.4
23-Jan-23,48670.69,48791.76,48485.33,48594.55,-76.14
24-Jan-23,48765.94,48813.1,48239.27,48371.26,-394.68
25-Jan-23,48256.61,48353.66,47068.94,47199.53,-1057.08
27-Jan-23,47102.71,47102.71,45514.1,45756.11,-1346.6
30-Jan-23,45248.99,46226.31,44706.75,45795.6,546.61
31-Jan-23,45989.37,46259.53,45537.73,46079.85,90.48
01-Feb-23,46530.6,47581.8,44728.15,45870.9,-659.7
02-Feb-23,45434.22,46174.8,45017.81,46079.54,645.32
03-Feb-23,46500.88,47053.74,45983.22,47011.23,510.35
06-Feb-23,47145.25,47233.83,46696.23,46804.99,-340.26
07-Feb-23,46855.53,47107.53,46541.96,46942.03,86.5
08-Feb-23,46965.94,47295.78,46839.3,46964.74,-1.2
09-Feb-23,47032.61,47067.38,46659.25,46993.56,-39.05
10-Feb-23,46918.59,47157.34,46811.99,47001.6,83.01
13-Feb-23,47006.99,47139.95,46548.08,46672.75,-334.24
14-Feb-23,46728.75,47151.24,46582.18,47067.88,339.13
15-Feb-23,47202.1,47252.18,46880.92,47172.64,-29.46
16-Feb-23,47437.14,47484.91,46972.08,47087.97,-349.17
17-Feb-23,46828.13,46975.55,46238.81,46508.27,-319.86
20-Feb-23,46582.45,46694.12,45875.37,46013.53,-568.92
21-Feb-23,46068.16,46258.78,45801.97,45968.13,-100.03
22-Feb-23,45748.96,45803.76,45121.89,45222.43,-526.53
23-Feb-23,45224.96,45452.98,44834.46,45314.27,89.31
24-Feb-23,45642.55,45693.35,45116.27,45220.13,-422.42
27-Feb-23,45078.71,45772.31,45072.36,45704.84,626.13
28-Feb-23,45766.43,45778.79,45413.22,45608.78,-157.65
01-Mar-23,45764.02,46165.59,45695.38,46131.28,367.26
02-Mar-23,46102.38,46188.7,45646.47,45727.99,-374.39
03-Mar-23,45979.01,46854.48,45979.01,46701.02,722.01
06-Mar-23,46866.71,47167.34,46719.17,46814.66,-52.05
08-Mar-23,46574.33,47071.58,46515.59,47009.5,435.17
09-Mar-23,47055.43,47106.73,46618.69,46684.5,-370.93
10-Mar-23,46127.03,46191.85,45671.69,45821.28,-305.75
13-Mar-23,45635.33,46106.73,44685.4,44793.66,-841.67
14-Mar-23,44650.12,44988.91,44273.42,44606.32,-43.8
15-Mar-23,45058.72,45145.43,44106.15,44223.85,-834.87
16-Mar-23,44147.89,44641.79,43803.18,44356.71,208.82
17-Mar-23,44745.22,45031.13,44160.64,44898.06,152.84
20-Mar-23,44675.08,44768.32,44227.05,44676.59,1.51
21-Mar-23,44993.57,45342.13,44691.66,45258.38,264.81
22-Mar-23,45353.57,45455.44,45162.49,45324.12,-29.45
23-Mar-23,45211.46,45546.97,44833.9,44907.17,-304.29
24-Mar-23,44746.99,45103.35,44564.73,44692.16,-54.83
27-Mar-23,44758.69,45026.41,44558.89,44716.16,-42.53
28-Mar-23,44835.78,44943.59,44581.45,44864.71,28.93
29-Mar-23,44769.26,45415.6,44769.26,45252.62,483.36
31-Mar-23,45473.15,46118.08,45428.49,46031.95,558.8
03-Apr-23,46087.58,46329.22,45969.14,46278.85,191.27
05-Apr-23,46327.63,46544.17,46245.7,46446.43,118.8
06-Apr-23,46441.18,46737.25,46228.82,46453.66,12.48
10-Apr-23,46531.59,46573.45,46150.88,46244.83,-286.76
11-Apr-23,46673.93,47033.42,46581.49,47005.17,331.24
12-Apr-23,46998.54,47208.4,46912.93,47143.37,144.83
13-Apr-23,47278.05,47855.62,47069.38,47793.96,515.91
17-Apr-23,48028.7,48193.54,47457.94,47970.55,-58.15
18-Apr-23,47978.87,48189.5,47762.27,47922.51,-56.36
19-Apr-23,47987.64,47993.85,47696.83,47837.4,-150.24
20-Apr-23,47834.58,48081.58,47772.41,47946.44,111.86
21-Apr-23,47831.71,48107.96,47631.58,47771.91,-59.8
24-Apr-23,48064,48450.49,47947.05,48400.81,336.81
25-Apr-23,48599.43,48652.35,48345.41,48421.42,-178.01
26-Apr-23,48248.23,48649.35,48158.23,48602.3,354.07
27-Apr-23,48557.4,48836.06,48517.86,48789.58,232.18
28-Apr-23,48795.29,49047.39,48480.24,48981.83,186.54
02-May-23,49114.77,49214.25,48960.52,49043.89,-70.88
03-May-23,48877.99,49032.05,48740.92,48973.18,95.19
04-May-23,49032.61,49458.74,48866.65,49396.39,363.78
05-May-23,48829.35,49486.74,48391.48,48472.72,-356.63
08-May-23,48555.07,49323.42,48555.07,49201.92,646.85
09-May-23,49354.68,49442.26,49023.43,49091.98,-262.7
10-May-23,49153.32,49302.58,48674.76,49259.59,106.27
11-May-23,49546.43,49614.78,49302.73,49408.86,-137.57
